Date,Technology,Estimated cost of hydrogen production [EUR/kg],Estimated cost of hydrogen production [EUR/MWh]
08/11/2024,Minimum RFNBO compliant,8.70,262.20
08/11/2024,Maximum RFNBO compliant,11.60,348.60
11/11/2024,Alcaline,7.40,221.70
11/11/2024,RFNBO compliant,9.40,280.90
11/11/2024,SMR with CCS,3.10,93.90
11/11/2024,SMR without CCS,2.40,72.70
11/11/2024,Minimum RFNBO compliant,8.80,265.20
11/11/2024,Maximum RFNBO compliant,10.00,299.10
12/11/2024,Alcaline,7.50,225.70
12/11/2024,RFNBO compliant,8.60,256.80
12/11/2024,SMR with CCS,3.10,94.00
12/11/2024,SMR without CCS,2.40,72.70
12/11/2024,Minimum RFNBO compliant,7.60,226.70
12/11/2024,Maximum RFNBO compliant,9.60,288.60
13/11/2024,Alcaline,7.40,221.20
13/11/2024,RFNBO compliant,9.20,276.30
13/11/2024,SMR with CCS,3.10,93.80
13/11/2024,SMR without CCS,2.40,72.60
13/11/2024,Minimum RFNBO compliant,6.80,203.00
13/11/2024,Maximum RFNBO compliant,11.70,351.40
14/11/2024,Alcaline,7.80,233.70
14/11/2024,RFNBO compliant,9.80,294.30
14/11/2024,SMR with CCS,3.30,98.00
14/11/2024,SMR without CCS,2.50,75.90
14/11/2024,Minimum RFNBO compliant,8.90,268.20
14/11/2024,Maximum RFNBO compliant,10.80,325.50
15/11/2024,Alcaline,8.00,240.50
15/11/2024,RFNBO compliant,9.50,285.20
15/11/2024,SMR with CCS,3.30,98.20
15/11/2024,SMR without CCS,2.50,75.80
15/11/2024,Minimum RFNBO compliant,9.20,276.90
15/11/2024,Maximum RFNBO compliant,9.70,292.50
18/11/2024,Alcaline,8.10,243.50
18/11/2024,RFNBO compliant,9.70,291.00
18/11/2024,SMR with CCS,3.30,99.60
18/11/2024,SMR without CCS,2.60,76.90
18/11/2024,Minimum RFNBO compliant,9.20,277.50
18/11/2024,Maximum RFNBO compliant,10.10,303.60
19/11/2024,Alcaline,8.00,239.40
19/11/2024,RFNBO compliant,9.40,281.20
19/11/2024,SMR with CCS,3.30,97.70
19/11/2024,SMR without CCS,2.50,75.40
19/11/2024,Minimum RFNBO compliant,8.60,257.40
19/11/2024,Maximum RFNBO compliant,10.90,327.60
20/11/2024,Alcaline,7.90,236.00
20/11/2024,RFNBO compliant,9.30,278.00
20/11/2024,SMR with CCS,3.30,99.10
20/11/2024,SMR without CCS,2.60,76.80
20/11/2024,Minimum RFNBO compliant,7.30,218.30
20/11/2024,Maximum RFNBO compliant,10.50,313.80
21/11/2024,Alcaline,8.00,240.40
21/11/2024,RFNBO compliant,8.80,265.50
21/11/2024,SMR with CCS,3.40,102.00
21/11/2024,SMR without CCS,2.60,79.20
21/11/2024,Minimum RFNBO compliant,8.10,243.80
21/11/2024,Maximum RFNBO compliant,9.50,285.90
22/11/2024,Alcaline,7.90,237.40
22/11/2024,RFNBO compliant,8.70,262.00
22/11/2024,SMR with CCS,3.30,99.50
22/11/2024,SMR without CCS,2.60,77.10
22/11/2024,Minimum RFNBO compliant,7.10,212.60
22/11/2024,Maximum RFNBO compliant,9.70,291.30
25/11/2024,Alcaline,8.00,241.40
25/11/2024,RFNBO compliant,9.00,270.50
25/11/2024,SMR with CCS,3.40,101.20
25/11/2024,SMR without CCS,2.60,78.50
25/11/2024,Minimum RFNBO compliant,8.40,252.00
25/11/2024,Maximum RFNBO compliant,9.50,286.50
26/11/2024,Alcaline,7.80,235.50
26/11/2024,RFNBO compliant,7.40,221.30
26/11/2024,SMR with CCS,3.30,99.30
26/11/2024,SMR without CCS,2.60,77.00
26/11/2024,Minimum RFNBO compliant,6.90,205.70
26/11/2024,Maximum RFNBO compliant,7.70,231.50
27/11/2024,Alcaline,7.80,233.10
27/11/2024,RFNBO compliant,9.50,285.90
27/11/2024,SMR with CCS,3.30,98.50
27/11/2024,SMR without CCS,2.50,76.40
27/11/2024,Minimum RFNBO compliant,8.80,263.40
27/11/2024,Maximum RFNBO compliant,11.10,333.30
28/11/2024,Alcaline,7.70,231.50
28/11/2024,RFNBO compliant,9.20,274.80
28/11/2024,SMR with CCS,3.30,98.20
28/11/2024,SMR without CCS,2.50,76.20
28/11/2024,Minimum RFNBO compliant,7.20,217.40
28/11/2024,Maximum RFNBO compliant,10.80,323.70
29/11/2024,Alcaline,7.50,225.30
29/11/2024,RFNBO compliant,9.20,276.80
29/11/2024,SMR with CCS,3.30,98.90
29/11/2024,SMR without CCS,2.60,77.10
29/11/2024,Minimum RFNBO compliant,8.70,260.70
29/11/2024,Maximum RFNBO compliant,10.60,316.80
02/12/2024,Alcaline,8.40,251.20
02/12/2024,RFNBO compliant,9.60,289.10
02/12/2024,SMR with CCS,3.40,102.50
02/12/2024,SMR without CCS,2.60,79.20
02/12/2024,Minimum RFNBO compliant,8.60,259.50
02/12/2024,Maximum RFNBO compliant,10.20,306.60
03/12/2024,Alcaline,8.40,251.50
03/12/2024,RFNBO compliant,9.40,282.30
03/12/2024,SMR with CCS,3.40,102.50
03/12/2024,SMR without CCS,2.60,79.20
03/12/2024,Minimum RFNBO compliant,8.40,252.00
03/12/2024,Maximum RFNBO compliant,11.20,336.00
04/12/2024,Alcaline,8.30,250.70
04/12/2024,RFNBO compliant,10.40,311.00
04/12/2024,SMR with CCS,3.30,100.40
04/12/2024,SMR without CCS,2.60,77.40
04/12/2024,Minimum RFNBO compliant,10.00,300.60
04/12/2024,Maximum RFNBO compliant,10.90,326.10
05/12/2024,Alcaline,8.30,250.50
05/12/2024,RFNBO compliant,11.00,329.30
05/12/2024,SMR with CCS,3.30,99.50
05/12/2024,SMR without CCS,2.50,76.50
05/12/2024,Minimum RFNBO compliant,9.90,298.20
05/12/2024,Maximum RFNBO compliant,12.20,365.50
06/12/2024,Alcaline,8.10,244.70
06/12/2024,RFNBO compliant,9.00,271.70
06/12/2024,SMR with CCS,3.30,98.80
06/12/2024,SMR without CCS,2.50,76.20
06/12/2024,Minimum RFNBO compliant,8.10,243.80
06/12/2024,Maximum RFNBO compliant,10.40,312.00
09/12/2024,Alcaline,7.90,238.00
09/12/2024,RFNBO compliant,8.30,250.30
09/12/2024,SMR with CCS,3.20,96.30
09/12/2024,SMR without CCS,2.50,74.20
09/12/2024,Minimum RFNBO compliant,7.50,224.00
09/12/2024,Maximum RFNBO compliant,9.50,284.10
10/12/2024,Alcaline,8.00,239.50
10/12/2024,RFNBO compliant,7.80,234.40
10/12/2024,SMR with CCS,3.20,97.50
10/12/2024,SMR without CCS,2.50,75.20
10/12/2024,Minimum RFNBO compliant,6.80,203.90
10/12/2024,Maximum RFNBO compliant,8.60,257.10
11/12/2024,Alcaline,8.00,240.00
11/12/2024,RFNBO compliant,9.60,289.30
11/12/2024,SMR with CCS,3.20,96.40
11/12/2024,SMR without CCS,2.50,74.20
11/12/2024,Minimum RFNBO compliant,9.10,272.70
11/12/2024,Maximum RFNBO compliant,10.40,312.90
12/12/2024,Alcaline,7.70,230.80
12/12/2024,RFNBO compliant,12.50,374.50
12/12/2024,SMR with CCS,3.10,92.80
12/12/2024,SMR without CCS,2.40,71.30
12/12/2024,Minimum RFNBO compliant,10.60,318.30
12/12/2024,Maximum RFNBO compliant,14.80,443.20
13/12/2024,Alcaline,7.50,225.90
13/12/2024,RFNBO compliant,12.80,385.40
13/12/2024,SMR with CCS,3.00,90.30
13/12/2024,SMR without CCS,2.30,69.20
13/12/2024,Minimum RFNBO compliant,11.00,330.30
13/12/2024,Maximum RFNBO compliant,14.80,443.20
16/12/2024,Alcaline,7.30,218.00
16/12/2024,RFNBO compliant,11.60,347.40
16/12/2024,SMR with CCS,2.90,87.90
16/12/2024,SMR without CCS,2.20,67.40
16/12/2024,Minimum RFNBO compliant,11.30,338.40
16/12/2024,Maximum RFNBO compliant,12.10,364.00
17/12/2024,Alcaline,7.50,223.90
17/12/2024,RFNBO compliant,7.90,236.00
17/12/2024,SMR with CCS,3.00,91.00
17/12/2024,SMR without CCS,2.30,69.90
17/12/2024,Minimum RFNBO compliant,7.00,211.10
17/12/2024,Maximum RFNBO compliant,9.90,296.10
18/12/2024,Alcaline,7.40,223.40
18/12/2024,RFNBO compliant,8.60,258.60
18/12/2024,SMR with CCS,3.00,89.70
18/12/2024,SMR without CCS,2.30,68.80
18/12/2024,Minimum RFNBO compliant,8.10,241.70
18/12/2024,Maximum RFNBO compliant,9.90,297.30
19/12/2024,Alcaline,7.70,231.50
19/12/2024,RFNBO compliant,7.50,224.20
19/12/2024,SMR with CCS,3.10,93.60
19/12/2024,SMR without CCS,2.40,72.00
19/12/2024,Minimum RFNBO compliant,6.30,189.20
19/12/2024,Maximum RFNBO compliant,9.40,281.70
20/12/2024,Alcaline,7.90,236.80
20/12/2024,RFNBO compliant,6.90,208.60
20/12/2024,SMR with CCS,3.20,94.60
20/12/2024,SMR without CCS,2.40,72.70
20/12/2024,Minimum RFNBO compliant,6.30,188.30
20/12/2024,Maximum RFNBO compliant,7.40,221.30
23/12/2024,Alcaline,8.10,244.50
23/12/2024,RFNBO compliant,8.10,242.90
23/12/2024,SMR with CCS,3.30,97.90
23/12/2024,SMR without CCS,2.50,75.30
23/12/2024,Minimum RFNBO compliant,7.40,221.60
23/12/2024,Maximum RFNBO compliant,9.30,280.20
24/12/2024,Alcaline,8.10,244.50
24/12/2024,RFNBO compliant,6.80,203.70
24/12/2024,SMR with CCS,3.30,98.00
24/12/2024,SMR without CCS,2.50,75.40
24/12/2024,Minimum RFNBO compliant,5.90,175.70
24/12/2024,Maximum RFNBO compliant,7.30,218.90
27/12/2024,Alcaline,8.70,259.80
27/12/2024,RFNBO compliant,8.40,253.30
27/12/2024,SMR with CCS,3.40,101.60
27/12/2024,SMR without CCS,2.60,78.00
27/12/2024,Minimum RFNBO compliant,7.30,218.90
27/12/2024,Maximum RFNBO compliant,9.20,275.40
30/12/2024,Alcaline,8.30,249.00
30/12/2024,RFNBO compliant,9.90,297.00
30/12/2024,SMR with CCS,3.40,101.40
30/12/2024,SMR without CCS,2.60,78.20
30/12/2024,Minimum RFNBO compliant,9.20,276.00
30/12/2024,Maximum RFNBO compliant,10.60,318.60
31/12/2024,Alcaline,8.30,249.00
31/12/2024,RFNBO compliant,9.10,272.30
31/12/2024,SMR with CCS,3.40,102.60
31/12/2024,SMR without CCS,2.60,79.40
31/12/2024,Minimum RFNBO compliant,8.10,244.40
31/12/2024,Maximum RFNBO compliant,11.10,334.50
02/01/2025,Alcaline,8.30,248.40
02/01/2025,RFNBO compliant,8.30,250.60
02/01/2025,SMR with CCS,3.50,104.80
02/01/2025,SMR without CCS,2.70,81.40
02/01/2025,Minimum RFNBO compliant,7.30,219.50
02/01/2025,Maximum RFNBO compliant,10.90,328.50
03/01/2025,Alcaline,8.30,250.40
03/01/2025,RFNBO compliant,9.30,280.30
03/01/2025,SMR with CCS,3.50,104.30
03/01/2025,SMR without CCS,2.70,80.90
03/01/2025,Minimum RFNBO compliant,8.40,252.30
03/01/2025,Maximum RFNBO compliant,10.50,313.80
06/01/2025,Alcaline,8.00,241.20
06/01/2025,RFNBO compliant,9.00,271.20
06/01/2025,SMR with CCS,3.30,99.90
06/01/2025,SMR without CCS,2.60,77.30
06/01/2025,Minimum RFNBO compliant,8.40,253.50
06/01/2025,Maximum RFNBO compliant,9.60,286.80
07/01/2025,Alcaline,7.90,237.10
07/01/2025,RFNBO compliant,6.10,182.20
07/01/2025,SMR with CCS,3.30,100.50
07/01/2025,SMR without CCS,2.60,78.10
07/01/2025,Minimum RFNBO compliant,5.40,160.70
07/01/2025,Maximum RFNBO compliant,6.90,207.20
08/01/2025,Alcaline,7.60,229.20
08/01/2025,RFNBO compliant,7.40,223.40
08/01/2025,SMR with CCS,3.20,97.00
08/01/2025,SMR without CCS,2.50,75.20
08/01/2025,Minimum RFNBO compliant,7.00,209.30
08/01/2025,Maximum RFNBO compliant,7.90,237.50
09/01/2025,Alcaline,7.40,222.00
09/01/2025,RFNBO compliant,8.60,259.50
09/01/2025,SMR with CCS,3.20,96.00
09/01/2025,SMR without CCS,2.50,74.60
09/01/2025,Minimum RFNBO compliant,8.30,248.30
09/01/2025,Maximum RFNBO compliant,9.00,270.90
10/01/2025,Alcaline,7.40,221.10
10/01/2025,RFNBO compliant,8.60,257.90
10/01/2025,SMR with CCS,3.20,96.70
10/01/2025,SMR without CCS,2.50,75.20
10/01/2025,Minimum RFNBO compliant,7.60,226.70
10/01/2025,Maximum RFNBO compliant,9.90,296.70
13/01/2025,Alcaline,7.60,229.40
13/01/2025,RFNBO compliant,9.10,273.10
13/01/2025,SMR with CCS,3.40,101.70
13/01/2025,SMR without CCS,2.60,79.30
13/01/2025,Minimum RFNBO compliant,8.90,267.60
13/01/2025,Maximum RFNBO compliant,9.30,279.00
14/01/2025,Alcaline,7.70,231.10
14/01/2025,RFNBO compliant,9.60,288.60
14/01/2025,SMR with CCS,3.30,99.60
14/01/2025,SMR without CCS,2.60,77.40
14/01/2025,Minimum RFNBO compliant,9.20,274.80
14/01/2025,Maximum RFNBO compliant,9.90,295.80
15/01/2025,Alcaline,7.80,235.20
15/01/2025,RFNBO compliant,9.80,294.40
15/01/2025,SMR with CCS,3.30,99.70
15/01/2025,SMR without CCS,2.60,77.30
15/01/2025,Minimum RFNBO compliant,9.30,278.70
15/01/2025,Maximum RFNBO compliant,10.70,321.90
16/01/2025,Alcaline,7.60,228.50
16/01/2025,RFNBO compliant,11.90,357.10
16/01/2025,SMR with CCS,3.30,98.20
16/01/2025,SMR without CCS,2.50,76.30
16/01/2025,Minimum RFNBO compliant,10.60,316.80
16/01/2025,Maximum RFNBO compliant,13.70,411.40
17/01/2025,Alcaline,7.70,232.00
17/01/2025,RFNBO compliant,10.30,309.40
17/01/2025,SMR with CCS,3.30,99.70
17/01/2025,SMR without CCS,2.60,77.50
17/01/2025,Minimum RFNBO compliant,9.80,294.00
17/01/2025,Maximum RFNBO compliant,10.70,320.10
20/01/2025,Alcaline,7.90,236.40
20/01/2025,RFNBO compliant,10.40,312.50
20/01/2025,SMR with CCS,3.40,100.70
20/01/2025,SMR without CCS,2.60,78.30
20/01/2025,Minimum RFNBO compliant,10.00,299.40
20/01/2025,Maximum RFNBO compliant,10.70,320.70
21/01/2025,Alcaline,8.00,240.90
21/01/2025,RFNBO compliant,12.60,377.30
21/01/2025,SMR with CCS,3.50,104.00
21/01/2025,SMR without CCS,2.70,81.00
21/01/2025,Minimum RFNBO compliant,11.20,336.90
21/01/2025,Maximum RFNBO compliant,14.00,418.90
22/01/2025,Alcaline,7.90,237.70
22/01/2025,RFNBO compliant,10.90,327.20
22/01/2025,SMR with CCS,3.40,102.10
22/01/2025,SMR without CCS,2.60,79.50
22/01/2025,Minimum RFNBO compliant,10.50,315.30
22/01/2025,Maximum RFNBO compliant,11.40,340.80
23/01/2025,Alcaline,8.10,242.70
23/01/2025,RFNBO compliant,10.60,319.40
23/01/2025,SMR with CCS,3.40,102.80
23/01/2025,SMR without CCS,2.70,79.90
23/01/2025,Minimum RFNBO compliant,10.00,299.10
23/01/2025,Maximum RFNBO compliant,11.40,342.00
24/01/2025,Alcaline,8.30,248.70
24/01/2025,RFNBO compliant,9.20,275.90
24/01/2025,SMR with CCS,3.50,104.00
24/01/2025,SMR without CCS,2.70,80.70
24/01/2025,Minimum RFNBO compliant,8.30,249.50
24/01/2025,Maximum RFNBO compliant,10.80,324.60
27/01/2025,Alcaline,8.00,241.10
27/01/2025,RFNBO compliant,7.70,231.40
27/01/2025,SMR with CCS,3.40,100.90
27/01/2025,SMR without CCS,2.60,78.30
27/01/2025,Minimum RFNBO compliant,7.00,209.30
27/01/2025,Maximum RFNBO compliant,8.30,249.80
28/01/2025,Alcaline,8.10,242.30
28/01/2025,RFNBO compliant,5.90,177.60
28/01/2025,SMR with CCS,3.40,101.80
28/01/2025,SMR without CCS,2.60,79.00
28/01/2025,Minimum RFNBO compliant,4.70,139.60
28/01/2025,Maximum RFNBO compliant,7.10,213.50
29/01/2025,Alcaline,8.70,261.30
29/01/2025,RFNBO compliant,6.60,199.40
29/01/2025,SMR with CCS,3.60,107.30
29/01/2025,SMR without CCS,2.80,83.10
29/01/2025,Minimum RFNBO compliant,4.50,133.90
29/01/2025,Maximum RFNBO compliant,8.90,267.00
30/01/2025,Alcaline,8.80,263.60
30/01/2025,RFNBO compliant,7.70,231.70
30/01/2025,SMR with CCS,3.60,108.10
30/01/2025,SMR without CCS,2.80,83.80
30/01/2025,Minimum RFNBO compliant,6.10,183.50
30/01/2025,Maximum RFNBO compliant,9.00,270.30
31/01/2025,Alcaline,9.00,269.90
31/01/2025,RFNBO compliant,8.50,256.60
31/01/2025,SMR with CCS,3.70,110.40
31/01/2025,SMR without CCS,2.80,85.50
31/01/2025,Minimum RFNBO compliant,5.80,173.00
31/01/2025,Maximum RFNBO compliant,10.00,298.80
03/02/2025,Alcaline,7.40,221.20
03/02/2025,RFNBO compliant,9.70,290.10
03/02/2025,SMR with CCS,3.60,108.60
03/02/2025,SMR without CCS,2.90,86.00
03/02/2025,Minimum RFNBO compliant,8.50,255.90
03/02/2025,Maximum RFNBO compliant,10.50,314.70
04/02/2025,Alcaline,7.20,215.30
04/02/2025,RFNBO compliant,10.60,318.70
04/02/2025,SMR with CCS,3.50,105.60
04/02/2025,SMR without CCS,2.80,83.50
04/02/2025,Minimum RFNBO compliant,10.10,304.50
04/02/2025,Maximum RFNBO compliant,11.10,334.50
05/02/2025,Alcaline,7.30,218.30
05/02/2025,RFNBO compliant,10.20,306.80
05/02/2025,SMR with CCS,3.60,107.70
05/02/2025,SMR without CCS,2.80,85.40
05/02/2025,Minimum RFNBO compliant,9.70,292.20
05/02/2025,Maximum RFNBO compliant,11.10,333.30
06/02/2025,Alcaline,7.40,222.00
06/02/2025,RFNBO compliant,10.10,302.70
06/02/2025,SMR with CCS,3.60,109.40
06/02/2025,SMR without CCS,2.90,86.70
06/02/2025,Minimum RFNBO compliant,9.70,291.60
06/02/2025,Maximum RFNBO compliant,10.50,313.80
07/02/2025,Alcaline,7.40,223.60
07/02/2025,RFNBO compliant,10.40,311.20
07/02/2025,SMR with CCS,3.70,111.40
07/02/2025,SMR without CCS,2.90,88.40
07/02/2025,Minimum RFNBO compliant,9.50,286.50
07/02/2025,Maximum RFNBO compliant,10.90,328.50
10/02/2025,Alcaline,7.70,230.10
10/02/2025,RFNBO compliant,9.20,276.40
10/02/2025,SMR with CCS,3.80,115.50
10/02/2025,SMR without CCS,3.10,91.90
10/02/2025,Minimum RFNBO compliant,9.00,270.30
10/02/2025,Maximum RFNBO compliant,9.60,287.40
11/02/2025,Alcaline,7.50,226.70
11/02/2025,RFNBO compliant,9.80,292.90
11/02/2025,SMR with CCS,3.80,113.80
11/02/2025,SMR without CCS,3.00,90.50
11/02/2025,Minimum RFNBO compliant,9.20,277.50
11/02/2025,Maximum RFNBO compliant,10.60,316.80
12/02/2025,Alcaline,7.40,221.50
12/02/2025,RFNBO compliant,9.80,294.10
12/02/2025,SMR with CCS,3.70,111.00
12/02/2025,SMR without CCS,2.90,88.20
12/02/2025,Minimum RFNBO compliant,8.80,265.20
12/02/2025,Maximum RFNBO compliant,11.00,328.80
13/02/2025,Alcaline,7.00,211.60
13/02/2025,RFNBO compliant,10.30,310.70
13/02/2025,SMR with CCS,3.50,104.20
13/02/2025,SMR without CCS,2.70,82.50
13/02/2025,Minimum RFNBO compliant,9.70,289.80
13/02/2025,Maximum RFNBO compliant,10.70,321.30
14/02/2025,Alcaline,7.10,214.60
14/02/2025,RFNBO compliant,10.80,324.90
14/02/2025,SMR with CCS,3.40,103.50
14/02/2025,SMR without CCS,2.70,81.80
14/02/2025,Minimum RFNBO compliant,10.20,306.90
14/02/2025,Maximum RFNBO compliant,11.70,349.80
17/02/2025,Alcaline,6.70,200.60
17/02/2025,RFNBO compliant,10.90,326.40
17/02/2025,SMR with CCS,3.30,98.80
17/02/2025,SMR without CCS,2.60,78.10
17/02/2025,Minimum RFNBO compliant,9.90,296.40
17/02/2025,Maximum RFNBO compliant,12.20,367.30
18/02/2025,Alcaline,6.50,195.60
18/02/2025,RFNBO compliant,10.60,318.70
18/02/2025,SMR with CCS,3.30,100.50
18/02/2025,SMR without CCS,2.70,79.80
18/02/2025,Minimum RFNBO compliant,9.90,296.40
18/02/2025,Maximum RFNBO compliant,11.10,333.00
19/02/2025,Alcaline,6.40,193.20
19/02/2025,RFNBO compliant,9.20,276.70
19/02/2025,SMR with CCS,3.30,97.60
19/02/2025,SMR without CCS,2.60,77.30
19/02/2025,Minimum RFNBO compliant,7.90,237.50
19/02/2025,Maximum RFNBO compliant,10.00,301.50
20/02/2025,Alcaline,6.30,190.40
20/02/2025,RFNBO compliant,9.20,275.30
20/02/2025,SMR with CCS,3.20,97.30
20/02/2025,SMR without CCS,2.60,77.20
20/02/2025,Minimum RFNBO compliant,8.70,262.20
20/02/2025,Maximum RFNBO compliant,10.20,306.60
21/02/2025,Alcaline,6.40,192.30
21/02/2025,RFNBO compliant,8.30,248.30
21/02/2025,SMR with CCS,3.20,96.00
21/02/2025,SMR without CCS,2.50,75.90
21/02/2025,Minimum RFNBO compliant,8.00,240.20
21/02/2025,Maximum RFNBO compliant,8.40,253.50
24/02/2025,Alcaline,6.50,195.60
24/02/2025,RFNBO compliant,7.20,215.70
24/02/2025,SMR with CCS,3.20,97.10
24/02/2025,SMR without CCS,2.60,76.80
24/02/2025,Minimum RFNBO compliant,6.10,183.80
24/02/2025,Maximum RFNBO compliant,8.10,243.50
25/02/2025,Alcaline,6.50,196.20
25/02/2025,RFNBO compliant,7.80,233.00
25/02/2025,SMR with CCS,3.10,92.10
25/02/2025,SMR without CCS,2.40,72.20
25/02/2025,Minimum RFNBO compliant,7.50,225.80
25/02/2025,Maximum RFNBO compliant,8.10,243.50
26/02/2025,Alcaline,6.40,192.90
26/02/2025,RFNBO compliant,9.30,278.30
26/02/2025,SMR with CCS,2.90,88.10
26/02/2025,SMR without CCS,2.30,68.70
26/02/2025,Minimum RFNBO compliant,8.20,245.90
26/02/2025,Maximum RFNBO compliant,10.60,317.10
27/02/2025,Alcaline,6.50,195.50
27/02/2025,RFNBO compliant,9.30,279.10
27/02/2025,SMR with CCS,3.10,94.00
27/02/2025,SMR without CCS,2.50,74.00
27/02/2025,Minimum RFNBO compliant,7.90,238.10
27/02/2025,Maximum RFNBO compliant,10.60,317.70
28/02/2025,Alcaline,6.60,198.30
28/02/2025,RFNBO compliant,9.60,287.10
28/02/2025,SMR with CCS,3.10,93.40
28/02/2025,SMR without CCS,2.40,73.30
28/02/2025,Minimum RFNBO compliant,8.70,260.70
28/02/2025,Maximum RFNBO compliant,10.20,305.10
03/03/2025,Alcaline,5.70,170.20
03/03/2025,RFNBO compliant,9.40,282.70
03/03/2025,SMR with CCS,3.10,92.90
03/03/2025,SMR without CCS,2.50,74.00
03/03/2025,Minimum RFNBO compliant,8.50,255.90
03/03/2025,Maximum RFNBO compliant,10.30,308.10
04/03/2025,Alcaline,5.10,154.20
04/03/2025,RFNBO compliant,8.70,262.60
04/03/2025,SMR with CCS,3.00,89.40
04/03/2025,SMR without CCS,2.40,71.60
04/03/2025,Minimum RFNBO compliant,8.60,257.10
04/03/2025,Maximum RFNBO compliant,8.90,267.60
05/03/2025,Alcaline,5.10,153.80
05/03/2025,RFNBO compliant,8.70,260.70
05/03/2025,SMR with CCS,2.90,85.60
05/03/2025,SMR without CCS,2.30,68.20
05/03/2025,Minimum RFNBO compliant,8.50,254.70
05/03/2025,Maximum RFNBO compliant,8.90,268.20
06/03/2025,Alcaline,4.80,144.60
06/03/2025,RFNBO compliant,7.70,231.50
06/03/2025,SMR with CCS,2.70,79.90
06/03/2025,SMR without CCS,2.10,63.50
06/03/2025,Minimum RFNBO compliant,7.60,227.30
06/03/2025,Maximum RFNBO compliant,7.90,238.10
07/03/2025,Alcaline,5.00,150.50
07/03/2025,RFNBO compliant,7.70,231.90
07/03/2025,SMR with CCS,2.80,83.00
07/03/2025,SMR without CCS,2.20,66.00
07/03/2025,Minimum RFNBO compliant,6.80,205.10
07/03/2025,Maximum RFNBO compliant,8.30,249.20
10/03/2025,Alcaline,5.00,150.70
10/03/2025,RFNBO compliant,7.60,226.90
10/03/2025,SMR with CCS,2.80,85.30
10/03/2025,SMR without CCS,2.30,68.20
10/03/2025,Minimum RFNBO compliant,6.20,186.20
10/03/2025,Maximum RFNBO compliant,9.10,274.20
11/03/2025,Alcaline,5.10,152.60
11/03/2025,RFNBO compliant,8.80,265.00
11/03/2025,SMR with CCS,2.90,88.20
11/03/2025,SMR without CCS,2.40,70.70
11/03/2025,Minimum RFNBO compliant,8.10,242.60
11/03/2025,Maximum RFNBO compliant,9.60,289.20
12/03/2025,Alcaline,5.00,151.00
12/03/2025,RFNBO compliant,9.10,271.80
12/03/2025,SMR with CCS,2.90,86.60
12/03/2025,SMR without CCS,2.30,69.30
12/03/2025,Minimum RFNBO compliant,8.30,248.90
12/03/2025,Maximum RFNBO compliant,10.00,301.20
13/03/2025,Alcaline,5.20,155.30
13/03/2025,RFNBO compliant,9.20,276.60
13/03/2025,SMR with CCS,2.80,84.90
13/03/2025,SMR without CCS,2.30,67.60
13/03/2025,Minimum RFNBO compliant,8.50,254.10
13/03/2025,Maximum RFNBO compliant,10.20,305.70
14/03/2025,Alcaline,5.30,158.50
14/03/2025,RFNBO compliant,9.50,285.10
14/03/2025,SMR with CCS,2.90,87.30
14/03/2025,SMR without CCS,2.30,69.60
14/03/2025,Minimum RFNBO compliant,9.10,273.30
14/03/2025,Maximum RFNBO compliant,10.00,300.30
17/03/2025,Alcaline,5.30,157.90
17/03/2025,RFNBO compliant,8.70,260.70
17/03/2025,SMR with CCS,2.90,86.10
17/03/2025,SMR without CCS,2.30,68.50
17/03/2025,Minimum RFNBO compliant,6.80,203.60
17/03/2025,Maximum RFNBO compliant,9.90,296.70
18/03/2025,Alcaline,5.30,158.50
18/03/2025,RFNBO compliant,8.30,250.50
18/03/2025,SMR with CCS,2.80,84.90
18/03/2025,SMR without CCS,2.20,67.40
18/03/2025,Minimum RFNBO compliant,7.70,230.30
18/03/2025,Maximum RFNBO compliant,8.80,264.00
19/03/2025,Alcaline,5.40,161.60
19/03/2025,RFNBO compliant,7.60,226.90
19/03/2025,SMR with CCS,3.00,89.10
19/03/2025,SMR without CCS,2.40,71.10
19/03/2025,Minimum RFNBO compliant,6.80,202.70
19/03/2025,Maximum RFNBO compliant,8.60,258.00
20/03/2025,Alcaline,5.40,161.70
20/03/2025,RFNBO compliant,7.50,224.30
20/03/2025,SMR with CCS,2.90,88.20
20/03/2025,SMR without CCS,2.30,70.30
20/03/2025,Minimum RFNBO compliant,5.20,157.40
20/03/2025,Maximum RFNBO compliant,9.20,276.30
21/03/2025,Alcaline,5.30,159.30
21/03/2025,RFNBO compliant,7.20,216.80
21/03/2025,SMR with CCS,2.90,87.60
21/03/2025,SMR without CCS,2.30,69.90
21/03/2025,Minimum RFNBO compliant,4.70,142.00
21/03/2025,Maximum RFNBO compliant,9.40,280.80
24/03/2025,Alcaline,5.20,157.50
24/03/2025,RFNBO compliant,6.20,185.50
24/03/2025,SMR with CCS,2.90,87.70
24/03/2025,SMR without CCS,2.30,70.00
24/03/2025,Minimum RFNBO compliant,4.30,127.60
24/03/2025,Maximum RFNBO compliant,7.70,230.90
25/03/2025,Alcaline,5.20,155.00
25/03/2025,RFNBO compliant,8.70,259.90
25/03/2025,SMR with CCS,2.90,85.90
25/03/2025,SMR without CCS,2.30,68.40
25/03/2025,Minimum RFNBO compliant,6.20,186.50
25/03/2025,Maximum RFNBO compliant,10.30,310.50
26/03/2025,Alcaline,5.10,153.20
26/03/2025,RFNBO compliant,8.10,242.70
26/03/2025,SMR with CCS,2.80,85.00
