"Last Updated On",1/27/2026,
Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
"GEN-2020-067","","DISIS-2020-001","05 SOUTHWEST","Terry & Hockley","TX","SPS","11/1/2024","12/1/2026",,,"352.5","352.5","352.5","ER","0","0","0","Wind","","Tuco to Yoakum 345kV line","4/24/2020",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2020-065","","DISIS-2020-001","05 SOUTHWEST","Gaines","NM","SPS","12/1/2025","7/2/2028",,,"1003","912.3","1003","ER","0","0","0","Thermal","Combined Cycle","Hobbs-Andrews 345 kV Line","4/30/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-064","","DISIS-2020-001","03 CENTRAL","Joplin","MO","EDE","10/1/2020","9/1/2025",,,"64","36","64","ER/NR","0","0","0","Thermal","CT","4544 Stateline CC 161kV Substation","4/22/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-061","","DISIS-2020-001","03 CENTRAL","Pleasant Hill","MO","GMO","5/1/2021","10/23/2026",,,"29","29","21","ER/NR","0","0","0","Thermal","Gas","Pleasant Hill 345/161/69 kV Substation","4/28/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-060","","DISIS-2020-001","05 SOUTHWEST","Lubbock","TX","SPS","5/1/2026","6/1/2027",,,"200","200","200","ER","0","0","0","Battery/Storage","","Lubbock East Substation 230 kV","4/30/2020",,"IA PENDING","N/A","",""
"GEN-2020-058","","DISIS-2020-001","03 CENTRAL","Garner","KS","WERE","11/1/2026","9/30/2028",,,"424.5","424.5","424.5","ER/NR","0","0","0","Solar","","Atlantic 345 kV Substation","4/30/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-057","","DISIS-2020-001","03 CENTRAL","Garner","KS","WERE","11/1/2026","11/30/2030",,,"424.5","424.5","424.5","ER/NR","0","0","0","Battery/Storage","","Atlantic 345 kV Substation","4/30/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-056","","DISIS-2020-001","03 CENTRAL","Russell County","KS","SUNC","3/30/2023","4/17/2025",,,"20","20","20","ER/NR","0","0","0","Solar","","Russell 115 kV Substation","4/30/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-054","","DISIS-2020-001","04 SOUTHEAST","Bowie County","TX","AEP","8/1/2023","11/12/2027",,,"298","298","298","ER/NR","0","0","0","Solar","","Lydia 345 kV Station","4/27/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-045","","DISIS-2020-001","02 NEBRASKA","Douglas County","NE","OPPD","4/30/2023","11/11/2025",,,"56.52","56.52","56.52","ER","0","0","0","Thermal","Reciprocating Engine","Between Substation 1209 and 1252; 161kV","4/29/2020",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2020-044","","DISIS-2020-001","02 NEBRASKA","Douglas County","NE","OPPD","4/30/2023","11/11/2025",,,"56.52","56.52","56.52","ER","0","0","0","Thermal","Reciprocating Engine","Between Substation 1209 and 1252; 161kV","4/29/2020",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2020-043","","DISIS-2020-001","02 NEBRASKA","Douglas County","NE","OPPD","4/30/2023","11/11/2025",,,"56.52","56.52","56.52","ER","0","0","0","Thermal","Reciprocating Engine","Between Substation 1209 and 1252; 161kV","4/29/2020",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2020-038","","DISIS-2020-001","02 NEBRASKA","Plattsmouth","NE","OPPD","4/30/2023","6/5/2028",,,"272.7","258","303","ER","0","0","0","Thermal","CT","Substation 3740; 345kV","4/29/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-031","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD","4/30/2023","2/1/2028",,,"272.7","258","303","ER","0","0","0","Thermal","CT","Substation 1363; 161kV Substation","4/29/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-028","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD","4/30/2023","6/17/2025",,,"255","235","255","ER","0","0","0","Thermal","CT","Substation 1363; 161kV Substation","4/29/2020",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2020-025","","DISIS-2020-001","02 NEBRASKA","Sarpy County","NE","OPPD","4/30/2023","6/17/2025",,,"255","235","255","ER","0","0","0","Thermal","CT","Substation 1363; 161kV Substation","4/29/2020",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2020-020","","DISIS-2020-001","04 SOUTHEAST","McCurtain","OK","AEP","5/15/2025","11/15/2027",,,"201.6","201.6","201.6","ER/NR","0","0","0","Hybrid","Solar/Storage","Tap the 345 kV Northwest Texarkana - Valliant line","4/28/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-014","","DISIS-2020-001","01 NORTH","Alexander","ND","BEPC","6/17/2021","10/19/2021",,,"45","45","45","ER/NR","0","0","0","Thermal","Gas","Lonesome Creek 115kV","4/20/2020",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2020-013","","DISIS-2020-001","02 NEBRASKA","Orleans","NE","NPPD","10/15/2026","6/1/2027",,,"215","215","215","ER/NR","0","0","0","Hybrid","Solar/Storage","Orleans-Holdrege Substation 115kV","4/10/2020",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2020-012","","DISIS-2020-001","04 SOUTHEAST","Headrick","OK","AEP","10/15/2026","6/1/2027",,,"113","113","113","ER/NR","0","0","0","Hybrid","Solar/Storage","Snyder – Altus Jct. 138kV","4/10/2020",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2020-011","","DISIS-2020-001","02 NEBRASKA","Funk","NE","NPPD","10/31/2028","12/31/2028",,,"320","320","320","ER/NR","0","0","0","Hybrid","Solar/Storage","Axtell 345 kV Substation","4/8/2020",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2020-010","","DISIS-2020-001","04 SOUTHEAST","Mutual","OK","WFEC","10/15/2026","6/1/2027",,,"140","140","140","ER/NR","0","0","0","Hybrid","Solar/Storage","Seiling-Taloga Substations 138kV","4/8/2020",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2020-008","","DISIS-2020-001","03 CENTRAL","Stevens County","KS","SPS","9/1/2023","6/21/2028",,,"250","250","250","ER","0","0","0","Hybrid","Solar/Storage","Corporation Carpenter 345kV Substation","4/22/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-007","","DISIS-2020-001","03 CENTRAL","Linn & Bates","KS","KCPL","7/1/2023","7/25/2028",,,"650","650","650","ER/NR","0","0","0","Hybrid","Solar/Storage","Evergy La Cygne to Wolf Creek 345kV Substation","4/22/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-003","","DISIS-2020-001","03 CENTRAL","Winfield","KS","KPP","3/1/2023","12/31/2029",,,"58","58","58","ER/NR","0","0","0","Thermal","Diesel/Gas","East Substation 69 kV","4/1/2020",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2020-002","","DISIS-2020-001","02 NEBRASKA","Yutan","NE","OPPD","11/15/2022","5/2/2024",,,"81","81","81","ER","0","0","0","Solar","","6846 Substation 69 kV","4/6/2020",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2019-068","","DISIS-2019-001","03 CENTRAL","Barton","KS","SUNC","6/1/2023","8/31/2029",,,"50","50","50","ER/NR","0","0","0","Battery/Storage","","Great Bend - Circle 230kV line","5/24/2019",,"IA FULLY EXECUTED/ON SUSPENSION","N/A","","Suspended 12/10/2025 - AB"
"GEN-2019-065","","DISIS-2019-001","04 SOUTHEAST","Smith","TX","AEP","6/1/2024","12/1/2026",,,"180","180","180","ER","0","0","0","Battery/Storage","","Overton-Northwest Henderson 138kV","5/23/2019",,"IA PENDING","N/A","",""
"GEN-2019-063","","DISIS-2019-001","03 CENTRAL","Ford, Clark","KS","ITCGP","6/1/2023","7/21/2028",,,"50","50","50","ER/NR","0","0","0","Battery/Storage","","Clark County 345kV substation","5/24/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-058","","DISIS-2019-001","03 CENTRAL","Ford, Clark","KS","ITCGP","6/1/2023","7/21/2028",,,"150","150","150","ER/NR","0","0","0","Solar","","Clark County 345kV substation","5/24/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-055","","DISIS-2019-001","03 CENTRAL","Edwards, Pawnee","KS","SUNC","6/1/2023","12/1/2028",,,"150","150","150","ER/NR","0","0","0","Solar","","Great Bend-Spearville 230kV line","5/24/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-054","","DISIS-2019-001","03 CENTRAL","Barton","KS","SUNC","6/1/2023","8/31/2029",,,"150","150","150","ER/NR","0","0","0","Solar","","Great Bend- Circle 230kV line","5/24/2019",,"IA FULLY EXECUTED/ON SUSPENSION","N/A","","Suspended 12/10/2025 - AB"
"GEN-2019-053","","DISIS-2019-001","03 CENTRAL","Edwards/Pawnee","KS","SUNC","6/1/2023","12/1/2028",,,"50","50","50","ER/NR","0","0","0","Battery/Storage","","Great Bend-Spearville 230kV line","5/24/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-045","","DISIS-2019-001","04 SOUTHEAST","Woods","OK","OGE","12/31/2022","12/31/2028",,,"155","155","155","ER","0","0","0","Solar","","DeGrasse 138kV Substation","5/24/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-044","","DISIS-2019-001","03 CENTRAL","Ford","KS","SUNC","12/31/2023","6/15/2030",,,"100","100","100","ER","0","0","0","Solar","","North Fort Dodge 115kV Substation","5/24/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-041","","DISIS-2019-001","02 NEBRASKA","Lancaster","NE","NPPD","12/1/2020","12/31/2028",,,"78","78","78","ER/NR","0","0","0","Solar","","115kV Monolith Substation","5/23/2019",,"IA FULLY EXECUTED/ON SUSPENSION","N/A","",""
"GEN-2019-039","","DISIS-2019-001","02 NEBRASKA","Butler","NE","NPPD","5/16/2022","12/31/2027",,,"174.5","174.5","174.5","ER/NR","0","0","0","Solar","","Columbus Southeast-Rising City 115kV","5/21/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-037","","DISIS-2019-001","01 NORTH","Mercer","ND","BEPC","12/1/2023",,,,"150","150","150","ER/NR","0","0","0","Solar","","Leland Olds 345kV substation","5/17/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-030","","DISIS-2019-001","03 CENTRAL","Ford","KS","ITCGP","12/1/2021","4/5/2027",,,"252","252","252","ER/NR","0","0","0","Wind","","Spearville to Clark County 345 kV line","4/25/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-023","","DISIS-2019-001","01 NORTH","Wibaux","MT","WAPA","12/31/2023","12/31/2031",,,"110","110","110","ER/NR","0","0","0","Hybrid","Wind/Storage","WAPA-UGP Mingusville 230kV","5/8/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-021","","DISIS-2019-001","05 SOUTHWEST","Roosevelt","NM","SPS","12/1/2022","11/1/2027",,,"50","50","50","ER/NR","0","0","0","Solar","","Roosevelt 230kV Substation","4/29/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-019","","DISIS-2019-001","01 NORTH","Sioux","IA","NIPCO","2/1/2020","3/1/2022",,,"15.15","15.15","15.15","ER/NR","0","0","0","Thermal","Gas Turbine","Siouxland 69kV","4/24/2019",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A",""," "
"GEN-2019-018","","DISIS-2019-001","03 CENTRAL","Rice","KS","MIDW","3/1/2020","6/10/2021",,,"15.56","11.97","15.56","ER/NR","0","0","0","Thermal","Gas Turbine","Saxman 115kV substation","4/24/2019",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2019-016","","DISIS-2019-001","03 CENTRAL","Polk and Dade","MO","EDE","11/30/2022","12/31/2029",,,"200","200","200","ER","0","0","0","Solar","","Dadeville 161kV Substation ","4/30/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-012","","DISIS-2019-001","04 SOUTHEAST","Woodward","OK","OGE","5/1/2023","5/1/2027",,,"200","200","200","ER/NR","0","0","0","Battery/Storage","","Woodward 345kV substation","5/22/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-011","","DISIS-2019-001","05 SOUTHWEST","Yoakum","TX","SPS","5/1/2023","6/1/2028",,,"207","207","207","ER/NR","0","0","0","Battery/Storage","","Yoakum 345kV Substation","4/22/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-009","","DISIS-2019-001","02 NEBRASKA","Nemaha","NE","OPPD","10/31/2022","11/1/2029",,,"100","100","100","ER","0","0","0","Solar","","S1263 Brock 161kV substation","4/24/2019",,"IA FULLY EXECUTED/ON SUSPENSION","N/A","",""
"GEN-2019-003","","DISIS-2019-001","05 SOUTHWEST","Roosevelt","NM","SPS","12/1/2022","11/1/2027",,,"150","150","150","ER/NR","0","0","0","Solar","","Roosevelt 230kV Substation","4/19/2019",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-002","","DISIS-2019-001","04 SOUTHEAST","Mayes","OK","GRDA","12/1/2020","11/30/2027",,,"100","100","100","ER","0","0","0","Battery/Storage","","Maid 161kV substation","11/26/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2019-001","","DISIS-2019-001","03 CENTRAL","Pratt","KS","WERE","12/31/2018","6/2/2025",,,"25","25","25","ER","0","0","0","Wind","","Thistle-Wichita Dbl Ckt (Buffalo Flats) 345kV","11/27/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-132","","DISIS-2018-002","02 NEBRASKA","Pierce","NE","NPPD","12/31/2020","12/31/2026",,,"201.6","201.6","201.6","ER/NR","0","0","0","Solar","","Antelope - Hoskins 345 kV","11/21/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-131","","DISIS-2018-002","02 NEBRASKA","Pierce","NE","NPPD","12/31/2020","12/1/2031",,,"221.4","221.4","221.4","ER/NR","0","0","0","Solar","","Antelope - Hoskins 345 kV","11/21/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-128","","DISIS-2018-002","03 CENTRAL","Sumner","KS","WERE","9/1/2021","6/15/2030",,,"200.22","200.22","200.22","ER/NR","0","0","0","Wind","","Renfrow-Viola 345 kV","11/19/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-125","","DISIS-2018-002","02 NEBRASKA","Lincoln","NE","NPPD","12/15/2022","2/28/2031",,,"231","231","231","ER/NR","0","0","0","Wind","","New switching station on Gentleman to Sweetwater 345kV line","11/19/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-115","","DISIS-2018-002","04 SOUTHEAST","Lawton","OK","AEP","12/1/2021","3/9/2029",,,"250","250","250","ER/NR","0","0","0","Hybrid","Solar/Storage","Lawton East Side 345kV/138kv Substation","11/21/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-108","","DISIS-2018-002","03 CENTRAL","Barber","KS","ITCGP","12/31/2027","12/1/2028",,,"95","95","95","ER","0","0","0","Battery/Storage","","Thistle 345kV substation","11/21/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-106","","DISIS-2018-002","04 SOUTHEAST","Caddo","LA","AEP","12/31/2023","4/15/2028",,,"165","165","165","ER","0","0","0","Solar","","Longwood 345kV substation","11/2/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-099","","DISIS-2018-002","05 SOUTHWEST","Parmer","TX","SPS","12/31/2023","12/31/2027",,,"300","300","300","ER","0","0","0","Wind","","Tolk 230kV Substation","11/21/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-089","","DISIS-2018-002","05 SOUTHWEST","Castro","TX","SPS","12/31/2023","3/1/2028",,,"196","196","196","ER","0","0","0","Wind","","Newhart 230kV Substation","11/21/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-082","","DISIS-2018-002","04 SOUTHEAST","Pittsburg","OK","AEP","12/31/2023","12/31/2030",,,"215","215","215","ER","0","0","0","Wind","","Pittsburg 345kV Substation","11/18/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-079","","DISIS-2018-002","04 SOUTHEAST","Craig/Novata","OK","AEP","12/31/2023","12/31/2029",,,"148","148","148","ER","0","0","0","Solar","","Farmland-Delaware 138kV line","11/18/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-074","","DISIS-2018-002","01 NORTH","Crawford and Carrol ","IA","WAPA","5/10/2022","10/31/2028",,,"72","72","72","ER","0","0","0","Wind","","Denison 230kV Substation","10/31/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-072","","DISIS-2018-002","04 SOUTHEAST","Kay","OK","OGE","11/30/2021","12/31/2027",,,"151","151","151","ER/NR","0","0","0","Battery/Storage","","Interconnecting into OG&E's Ranch Road 345kV substation by tapping a 0.1 gen tie line into the existing Frontier II gen-tie line","10/26/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-071","","DISIS-2018-002","04 SOUTHEAST","Kay","OK","OGE","11/30/2021","12/31/2027",,,"151","151","151","ER/NR","0","0","0","Battery/Storage","","Interconnecting into OG&E's Ranch Road 345kV substation by tapping a 0.1 gen tie line into the existing Frontier II gen-tie line","10/25/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-069","","DISIS-2018-002","01 NORTH","Wibaux","MT","WAPA","12/31/2020","12/31/2031",,,"125","125","125","ER/NR","0","0","0","Wind","","WAPA-UGP Mingusville 230kV","10/26/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-067","","DISIS-2018-002","01 NORTH","Williams","ND","MWEC","10/30/2020","5/31/2028",,,"255","255","255","ER","0","0","0","Wind","","115kV Strandahl sub ","10/25/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-064","","DISIS-2018-002","04 SOUTHEAST","Benton County","AR","GRDA","6/30/2021","7/11/2027",,,"80","80","80","ER/NR","0","0","0","Solar","","Tonnece Substation 69kV","10/24/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-060","","DISIS-2018-001","02 NEBRASKA","Webster","NE","NPPD","12/1/2020","12/31/2026",,,"50","50","50","ER/NR","0","0","0","Wind","","Axtell-Post Rock 345 kV","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-057","","DISIS-2018-001","03 CENTRAL","Sedgwick","KS","WERE","5/15/2029","5/15/2030",,,"203.4","203.4","203.4","ER/NR","0","0","0","Solar","","Gordon Evans 138kV","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-055","","DISIS-2018-001","04 SOUTHEAST","Grady","OK","AEP","12/31/2020","12/31/2026",,,"252","252","252","ER/NR","0","0","0","Solar","","Terry Road 345kV station (shared with Rush Springs Windfarm on a common gentie) ","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-052","","DISIS-2018-001","05 SOUTHWEST","Lea","NM","SPS","12/31/2021","12/31/2027",,,"70","70","70","ER","0","0","0","Battery/Storage","","Roadrunner 115kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-050","","DISIS-2018-001","04 SOUTHEAST","Caddo","LA","AEP","12/31/2021","4/15/2028",,,"200","200","200","ER","0","0","0","Solar","","Longwood 345kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-049","","DISIS-2018-001","03 CENTRAL","Sumner","KS","ITCGP","12/31/2021","4/1/2027",,,"120","120","120","ER","0","0","0","Solar","","Thistle 345kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-048","","DISIS-2018-001","04 SOUTHEAST","Caddo","OK","OGE","12/31/2021","6/15/2028",,,"300","300","300","ER","0","0","0","Solar","","Pecan Creek 345kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-043","","DISIS-2018-001","02 NEBRASKA","Burt","NE","OPPD","12/31/2021","11/15/2029",,,"500","500","500","ER","0","0","0","Solar","","Ft. Calhoun - Raun  345 kV Line Break","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-037","","DISIS-2018-001","02 NEBRASKA","Douglas","NE","OPPD","12/31/2024","5/31/2030",,,"100","100","100","ER","0","0","0","Battery/Storage","","Looping in OPPD (S1211) (S1220) (S1211) (S1299) 161kV","5/29/2018",,"IA FULLY EXECUTED/ON SUSPENSION","N/A","",""
"GEN-2018-033","","DISIS-2018-001","02 NEBRASKA","Cass","NE","OPPD","12/31/2023","11/30/2029",,,"200","200","200","ER","0","0","0","Battery/Storage","","Cass County 345kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SUSPENSION","N/A","",""
"GEN-2018-031","","DISIS-2018-001","03 CENTRAL","Jackson","MO","INDN","12/31/2024","5/31/2028",,,"50","50","50","ER","0","0","0","Battery/Storage","","Blue Valley 161kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-029","","DISIS-2018-001","04 SOUTHEAST","Oklahoma","OK","OGE","10/15/2023","5/31/2028",,,"100","100","100","ER","0","0","0","Battery/Storage","","Horseshoe Lake 138kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-028","","DISIS-2018-001","04 SOUTHEAST","Tulsa","OK","AEP","10/15/2023","5/31/2028",,,"200","200","200","ER","0","0","0","Battery/Storage","","Tulsa North 138kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-027","","DISIS-2018-001","04 SOUTHEAST","Tulsa","OK","AEP","12/31/2024","5/31/2028",,,"100","100","100","ER","0","0","0","Battery/Storage","","Tulsa Power Station 138kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-026","","DISIS-2018-001","04 SOUTHEAST","Canadian","OK","OGE","10/15/2023","5/31/2026",,,"100","100","100","ER","0","0","0","Battery/Storage","","Mustang 138kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-025","","DISIS-2018-001","02 NEBRASKA","Washington ","NE","OPPD","10/15/2023","11/30/2028",,,"200","200","200","ER","0","0","0","Battery/Storage","","Fort Calhoun 345kV Substation","5/29/2018",,"IA FULLY EXECUTED/ON SUSPENSION","N/A","",""
"GEN-2018-024","","DISIS-2018-001","04 SOUTHEAST","Muskogee","OK","OGE","10/15/2023","12/31/2028",,,"100","100","100","ER","0","0","0","Battery/Storage","","Canadian River-Muskogee and Muskogee-Seminole 345kV","5/28/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-015","","DISIS-2018-001","05 SOUTHWEST","Paducah","TX","SPS","10/31/2021","11/1/2027",,,"252","252","252","ER/NR","0","0","0","Solar","","Tuco-Oklaunion 345kV Line","4/27/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-013","","DISIS-2018-001","03 CENTRAL","Dickinson","KS","WERE","12/30/2024","12/31/2026",,,"74.1","74.1","74.1","ER","0","0","0","Wind","","Abilene Energy Center-Northview 115kV Line","4/27/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-011","","DISIS-2018-001","04 SOUTHEAST","Kingfisher","OK","WFEC","12/1/2020","12/31/2027",,,"74.1","74.1","74.1","ER/NR","0","0","0","Battery/Storage","","Dover 138 kV Switching Station","4/27/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-009","","DISIS-2018-001","03 CENTRAL","Seward/Meade","KS","SUNC","7/15/2025","12/31/2029",,,"150","150","150","ER","0","0","0","Wind","","Cimarron 115kV Substation","4/27/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-004","","DISIS-2018-001","05 SOUTHWEST","Lea","NM","SPS","12/31/2019","3/1/2027",,,"74.99","74.99","74.99","ER","0","0","0","Solar","","T14 Circuit 115kV line","4/26/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2018-003","","DISIS-2018-001","04 SOUTHEAST","Bowie","TX","AEP","12/31/2021","6/1/2027",,,"150","150","150","ER/NR","0","0","0","Solar","","North Boston-Bann 138kV Line","4/25/2018",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2017-239","IFS-2017-002-76","DISIS-2017-002","05 SOUTHWEST","Yoakum","TX","SPS","6/1/2023","5/1/2026",,,"300","300","300","ER","0","0","0","Solar","","Mahoney 230kV Substation","11/30/2017",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2017-234","IFS-2017-002-73","DISIS-2017-002","02 NEBRASKA","Greeley","NE","NPPD","12/31/2019","12/31/2024",,,"115","115","115","ER","0","0","0","Wind","","Spalding to North Loup 115kV","11/6/2017",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2017-233","IFS-2017-002-72","DISIS-2017-002","04 SOUTHEAST","Grady","OK","OGE","12/1/2020","12/31/2027",,,"215","215","215","ER/NR","0","0","0","Wind","","Minco 345kV","11/28/2017",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2017-232","IFS-2017-002-71","DISIS-2017-002","04 SOUTHEAST","Bryan County","OK","OGE","6/1/2020","3/31/2026",,,"52.2","52.2","52.2","ER/NR","0","0","0","Solar","","Brown 138kV Substation","11/28/2017",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2017-231","IFS-2017-002-70","DISIS-2017-002","04 SOUTHEAST","Franklin County","AR","OGE","6/1/2020","9/1/2027",,,"72.5","72.5","72.5","ER/NR","0","0","0","Solar","","Branch 161kV Substation","11/28/2017",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2017-230","IFS-2017-002-69","DISIS-2017-002","04 SOUTHEAST","Lincoln County","OK","OGE","6/1/2020","12/1/2027",,,"72.5","72.5","72.5","ER/NR","0","0","0","Solar","","Tryon 138kV Substation","11/28/2017",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
